Method,Iteration,Shape Error (%),Motion Error (%)
Rotation Constraints,61,10420.594649196479,42597.27657313776
Rotation Constraints,62,10531.104172986936,45771.920385211306
Rotation Constraints,63,10317.486152626789,46950.79002513525
Rotation Constraints,64,10066.250496382874,46246.595184440586
Rotation Constraints,65,10293.285164196546,43375.126159078485
Rotation Constraints,66,10749.818063167251,45855.051378764896
Rotation Constraints,67,10325.737533169577,50039.90354526948
Rotation Constraints,68,10026.076554946601,44883.46688501181
Rotation Constraints,69,10493.699434368942,46364.05763744422
Rotation Constraints,70,10263.75165845579,42950.04978971832
Rotation Constraints,71,10328.724056759147,42908.02056621354
Rotation Constraints,72,10294.802467164278,44997.45727873825
Rotation Constraints,73,10284.578351875598,50716.67279008126
Rotation Constraints,74,10193.301704311642,44933.51172309439
Rotation Constraints,75,10552.472158797134,49851.67178681733
Rotation Constraints,76,10198.902069697951,40959.485810310885
Rotation Constraints,77,10198.148475431373,50728.32790547983
Rotation Constraints,78,9987.371890826056,43701.027747747634
Rotation Constraints,79,10430.55471096572,43728.148305553295
Rotation Constraints,80,9671.937575160411,47674.1947045744
Rotation Constraints,81,10262.671242365,51264.37408251817
Rotation Constraints,82,10249.468638608389,39877.93530516575
Rotation Constraints,83,10139.67143119622,49407.29348652817
Rotation Constraints,84,10106.152502194176,42714.83035983815
Rotation Constraints,85,10012.851419930023,53472.587750535844
Rotation Constraints,86,10161.333154534841,38666.445608187976
Rotation Constraints,87,10357.836726141551,49368.827936693546
Rotation Constraints,88,10230.594600787641,43249.144259786946
Rotation Constraints,89,10344.170584091251,48916.48164694256
Rotation Constraints,90,10455.470040037453,42883.07059701847
Rotation Constraints,91,9919.88933352174,48430.481934246694
Rotation Constraints,92,10166.973730299222,45065.24210575375
Rotation Constraints,93,10269.943280231202,47232.07312398702
Rotation Constraints,94,10179.064710161214,47783.68188575445
Rotation Constraints,95,10226.608743435281,46973.02197967944
Rotation Constraints,96,10032.053661572802,48363.296896918415
Rotation Constraints,97,10688.271341230926,45478.37819058786
Rotation Constraints,98,10612.72192491005,44732.86096884766
Rotation Constraints,99,10311.167405466784,47651.664180171414
Rotation Constraints,100,10105.641560874774,47448.427006097976
Combined Constraints,1,10186.373131264925,44353.55189627572
Combined Constraints,2,10086.450911525313,46494.99347969151
Combined Constraints,3,10271.263749950544,45401.51922325537
Combined Constraints,4,9976.30481525551,44913.7456571144
Combined Constraints,5,10339.022754767371,48490.22859813459
Combined Constraints,6,10399.590469056295,45173.21959016375
Combined Constraints,7,10630.911867899084,44758.757416735716
Combined Constraints,8,10426.130107379295,51005.85819036864
Combined Constraints,9,10395.117464922836,52489.02044927302
Combined Constraints,10,10475.709327140767,52334.72946531947
Combined Constraints,11,10034.16522624385,44513.05956423199
Combined Constraints,12,10308.912529696157,47248.648761521305
Combined Constraints,13,10242.340159288438,44992.48371259329
Combined Constraints,14,9823.41003895589,44166.997117817344
Combined Constraints,15,10356.44344159822,46984.82604768516
Combined Constraints,16,10242.772434483144,48259.51545556305
Combined Constraints,17,10195.55892914547,47068.84042848414
Combined Constraints,18,10747.351780231003,43918.742888657194
Combined Constraints,19,10522.195356806656,48065.5766683684
Combined Constraints,20,10391.251786616695,49163.06221219088
Combined Constraints,21,10134.662884883843,42137.940337015774
Combined Constraints,22,10363.71506686579,45002.924023070445
Combined Constraints,23,10460.617684920368,49351.740363084005
Combined Constraints,24,10538.320674442479,47611.209364856535
Combined Constraints,25,9934.160183569527,44399.15878237086
Combined Constraints,26,10397.436457227923,42421.691293024625
Combined Constraints,27,10552.203065631185,47819.14420058587
Combined Constraints,28,10037.985995916612,44398.58566328831
Combined Constraints,29,10101.19631646071,42564.41475617243
Combined Constraints,30,10931.405238389032,47484.32433935395
Combined Constraints,31,10087.523768686957,47279.664184652545
Combined Constraints,32,10323.756761226268,49968.49120116197
Combined Constraints,33,9859.208903439967,44352.78951590953
Combined Constraints,34,10269.808579659664,43878.81153386576
Combined Constraints,35,10363.366351948018,49070.66708207033
Combined Constraints,36,9753.078418397563,46344.08487041229
Combined Constraints,37,10470.18405666499,42720.80483746012
Combined Constraints,38,10191.940147014231,41947.707549151186
Combined Constraints,39,10343.897923248476,50376.16406344894
Combined Constraints,40,10051.400569672305,47949.76415020716
Combined Constraints,41,9818.364329127107,45647.11898584219
Combined Constraints,42,10147.882156476935,43864.617369634274
Combined Constraints,43,10630.361661420371,46138.38506445873
Combined Constraints,44,10049.297932972811,42262.124164548564
Combined Constraints,45,10021.016191792229,44141.160923358155
Combined Constraints,46,10234.509235095327,49481.06696587391
Combined Constraints,47,10258.624066763996,44696.796119969564
Combined Constraints,48,10210.06251383732,48240.280019655256
Combined Constraints,49,10447.49863926771,44706.9845570894
Combined Constraints,50,10369.102454639662,48608.489424908745
Combined Constraints,51,10318.52938728752,39376.72300305217
Combined Constraints,52,10126.501751056714,44252.97043761186
Combined Constraints,53,10532.599817158996,40857.966853780024
Combined Constraints,54,10276.584677949706,46522.42975451221
Combined Constraints,55,10058.545404286175,48533.87661200534
Combined Constraints,56,10520.923209392475,45409.25569822722
Combined Constraints,57,10139.88070575331,48407.256657714235
Combined Constraints,58,10239.343201144604,48446.89045707807
Combined Constraints,59,10398.55008729115,46489.36185456282
Combined Constraints,60,10260.925251049302,45907.30129296643
Combined Constraints,61,10178.526072380455,41212.779894284344
Combined Constraints,62,10090.692766196596,47373.379938892365
Combined Constraints,63,10298.038526789274,49998.76106914373
Combined Constraints,64,10105.127880315375,44286.59110670733
Combined Constraints,65,10121.046585169799,39905.2784554414
Combined Constraints,66,10110.700427470654,46972.001716817555
Combined Constraints,67,10121.985518240286,44501.444893381464
Combined Constraints,68,10306.293722216726,54142.163467836304
Combined Constraints,69,9873.757885979823,45621.840413988866
Combined Constraints,70,10486.109814411819,47191.8431937861
Combined Constraints,71,10033.206414261314,53377.517579492065
Combined Constraints,72,10351.319069817302,48300.24212386923
Combined Constraints,73,10267.561705568858,45072.76520361633
Combined Constraints,74,10200.713945674668,41043.325829835
Combined Constraints,75,10233.32219701464,49236.10687091894
Combined Constraints,76,10565.524112162295,48716.771864844035
Combined Constraints,77,10258.917923063247,44115.04585933133
Combined Constraints,78,10118.710725830499,43503.381481141616
Combined Constraints,79,9964.09074488487,45855.6258941128
Combined Constraints,80,9918.88203441789,45747.264562195254
Combined Constraints,81,9934.69471150756,42914.8456324935
Combined Constraints,82,10543.010400915542,46810.83458468491
Combined Constraints,83,10268.156427781845,43940.531323427655
Combined Constraints,84,10311.403067058964,47188.64428892646
Combined Constraints,85,10343.586441344376,46654.066511607634
Combined Constraints,86,10033.438163873045,48374.53093188295
Combined Constraints,87,9848.61955313785,42892.661427097366
Combined Constraints,88,10345.891664832505,43558.53241468562
Combined Constraints,89,10549.030379126796,44704.57065256429
Combined Constraints,90,10492.672197254169,51850.30260683919
Combined Constraints,91,10092.846198168905,46920.922746664735
Combined Constraints,92,10118.529855090677,38297.96687635456
Combined Constraints,93,10388.075389389754,51174.0759120841
Combined Constraints,94,9965.134424619166,43631.07644494317
Combined Constraints,95,10765.411517707982,46949.59862037351
Combined Constraints,96,10321.415670110448,39275.705534648
Combined Constraints,97,10645.464358623827,53048.76592353503
Combined Constraints,98,10992.167706583856,51879.61679160799
Combined Constraints,99,10256.950995019877,45517.42803692768
Combined Constraints,100,10013.539887451176,38557.77214699302
