Iteration,Noise Level,Basis Shape Error (%),Basis Motion Error (%),Rotation Shape Error (%),Rotation Motion Error (%),,Basis,Rotation
116,0.116,112.0226023,99.68460288,117.8457399,99.81311136,,1,0
117,0.117,121.9364121,100.5039332,121.2227205,100.4346252,,0,1
118,0.118,108.2802112,99.44192636,109.0799154,99.36385294,,0,1
119,0.119,122.3770327,100.2791621,120.4196128,100.3344213,,1,0
120,0.12,118.415377,100.1678014,118.1545605,100.1253026,,0,1
121,0.121,111.3897261,99.85961715,113.7526839,99.91349503,,1,0
122,0.122,117.4096172,99.84672999,118.6458295,100.0023894,,1,0
123,0.123,130.181764,100.0842037,133.7376145,100.2390336,,1,0
124,0.124,109.0523166,99.51770764,108.8431914,99.47000115,,0,1
125,0.125,123.3402288,100.1898526,125.5572384,100.1673133,,0,1
126,0.126,116.5912083,99.90947653,114.597855,99.84362407,,0,1
127,0.127,120.0685557,100.1261799,120.0017579,100.1488587,,1,0
128,0.128,113.6507378,99.90308709,118.8404607,100.0568516,,1,0
129,0.129,107.9991472,99.54139681,107.4752172,99.55081038,,1,0
130,0.13,126.4569992,100.4204278,125.9602498,100.3690794,,0,1
131,0.131,126.022284,100.2373229,125.4897485,100.3440765,,1,0
132,0.132,122.4762162,100.2889746,120.3042653,100.0989148,,0,1
133,0.133,122.8350749,99.90538971,118.4898758,99.93531621,,1,0
134,0.134,113.6470005,99.82129073,116.7086171,99.75683468,,0,1
135,0.135,118.6385824,100.3327579,121.4030425,100.4489896,,1,0
136,0.136,108.1905572,99.85192363,109.5430887,99.90757916,,1,0
137,0.137,118.315349,99.93292898,114.6879335,99.69974045,,0,1
138,0.138,122.4996535,100.3309484,122.8596881,100.3308142,,0,1
139,0.139,137.497686,100.855349,138.3870248,100.9553886,,1,0
140,0.14,135.0349318,100.9501306,136.8495761,101.059834,,1,0
141,0.141,119.9875915,100.1510648,114.1433522,99.84446973,,0,1
142,0.142,131.2074684,100.7506971,128.9873199,100.7154128,,0,1
143,0.143,117.6164468,99.33126046,119.7389014,99.49810498,,1,0
144,0.144,113.8320112,99.99109665,109.4113743,99.81483873,,0,1
145,0.145,136.2797493,100.7638435,136.3544159,100.6105439,,0,1
146,0.146,124.6145877,100.1619982,130.6169751,100.3458608,,1,0
147,0.147,120.8812907,99.90571296,120.5249162,99.78271512,,0,1
148,0.148,116.1871348,99.90183057,122.5439362,100.0493765,,1,0
149,0.149,110.4675672,99.4340689,103.8725865,99.26082193,,0,1
150,0.15,123.0550732,100.0259381,122.6212026,99.97264213,,0,1
151,0.151,138.070315,100.9980092,133.8099586,100.9145811,,0,1
152,0.152,114.8271236,99.38543699,106.8240084,99.25109599,,0,1
153,0.153,120.795617,99.93046955,121.1094683,99.80791351,,0,1
154,0.154,121.2884149,100.4109682,121.139557,100.5823946,,1,0
155,0.155,116.6450056,99.76098086,115.4132657,99.74178001,,0,1
156,0.156,126.5681234,100.180935,122.3751229,100.0907533,,0,1
157,0.157,122.5115748,99.65111195,118.6582968,99.68817196,,1,0
158,0.158,117.4592662,99.8320043,114.098747,99.67247031,,0,1
159,0.159,121.2539107,99.95002919,126.6825216,100.2063393,,1,0
160,0.16,128.031107,100.3849198,126.8866781,100.3712299,,0,1
161,0.161,129.3291135,100.5495398,127.5143401,100.5819536,,1,0
162,0.162,124.8580102,99.86353749,123.0666085,100.107081,,1,0
163,0.163,119.3279004,100.3392004,126.0393267,100.4773941,,1,0
164,0.164,131.6330715,100.4435553,128.5971507,100.5241081,,1,0
165,0.165,125.1983501,100.0907478,125.3351166,100.0871353,,0,1
166,0.166,119.9108269,100.0590702,112.0156227,99.5082151,,0,1
167,0.167,125.0308392,99.75533093,123.7564486,100.0683248,,1,0
168,0.168,119.0971866,100.1356895,117.2592376,100.0363102,,0,1
169,0.169,115.0592971,99.96363871,112.4299075,99.60309713,,0,1
170,0.17,129.607684,100.3409157,127.7538621,100.2127933,,0,1
171,0.171,129.2727692,100.5388642,122.0394127,100.1626228,,0,1
172,0.172,111.1134694,99.37102173,108.0812589,99.37865197,,1,0
173,0.173,110.3213105,99.61747204,114.8466162,99.70870399,,1,0
174,0.174,115.8375286,99.83371568,113.0360854,99.87551239,,1,0
175,0.175,116.5474129,99.72706024,120.463815,99.67402648,,0,1
176,0.176,114.1823842,100.4298363,114.8487641,100.496251,,1,0
177,0.177,116.9834315,99.97983591,126.2675841,100.0756676,,1,0
178,0.178,108.1722904,99.372145,108.1469653,99.32550012,,0,1
179,0.179,120.3759761,100.0111445,124.4511413,100.221409,,1,0
180,0.18,115.3655607,99.85159939,115.1042491,99.84192843,,0,1
181,0.181,113.2403522,100.2274217,109.7822984,99.73197831,,0,1
182,0.182,129.2504411,100.5191131,127.8772965,100.4206685,,0,1
183,0.183,120.3106516,100.4910423,118.443292,100.3413803,,0,1
184,0.184,124.7610783,100.5912381,130.5753925,100.6637463,,1,0
185,0.185,112.7394808,99.76036683,114.8180798,99.84786841,,1,0
186,0.186,114.9345497,99.46458638,117.4464301,99.64207304,,1,0
187,0.187,129.9497356,100.5248665,130.3780783,100.6301144,,1,0
188,0.188,118.7463956,99.61030841,115.2475376,99.67522762,,1,0
189,0.189,129.5103013,100.8893336,123.3616046,100.6827628,,0,1
190,0.19,118.7586632,100.2281822,126.06429,100.6372538,,1,0
191,0.191,120.4869232,99.80790121,123.8783903,100.1043071,,1,0
192,0.192,126.6235712,100.4073008,130.7934123,100.4104274,,1,0
193,0.193,125.1994465,100.483978,129.7453235,100.5065099,,1,0
194,0.194,127.4160653,100.3090835,127.2876862,100.2591062,,0,1
195,0.195,121.2633354,99.91068418,119.5751382,99.89090749,,0,1
196,0.196,103.0015545,99.22731385,108.0156197,99.25017478,,1,0
197,0.197,128.7855787,99.88420953,124.4654926,99.89739866,,1,0
198,0.198,125.0133369,100.4313657,122.4022197,100.3307195,,0,1
199,0.199,113.0108455,99.85300114,124.8451298,100.0954368,,1,0
200,0.2,127.3548382,100.1655187,119.9480133,100.0177423,,0,1
201,0.201,108.3017908,99.35074659,107.485576,99.38526069,,1,0
202,0.202,123.9264384,100.0783399,129.6793849,100.2623301,,1,0
203,0.203,126.160491,100.483465,117.682803,100.0118745,,0,1
204,0.204,113.0799176,99.83372962,117.2830823,100.0116469,,1,0
205,0.205,109.4813483,99.70300173,111.0295871,99.86042214,,1,0
206,0.206,112.5710965,99.54161802,110.7234402,99.42185902,,0,1
207,0.207,129.2973998,100.9387895,127.6146324,100.8046174,,0,1
208,0.208,120.8428239,99.71342275,118.7177146,99.85046414,,1,0
209,0.209,125.0151423,100.5875031,123.0430868,100.4824501,,0,1
210,0.21,117.1718413,99.96594726,116.7269242,99.87565797,,0,1
211,0.211,114.1086797,99.95736841,114.4686554,99.88976772,,0,1
212,0.212,131.4371101,100.4172729,128.2143717,100.2403475,,0,1
213,0.213,121.1003795,99.78783733,116.6001684,99.5623465,,0,1
214,0.214,118.6389311,99.84741212,107.1222671,99.49444117,,0,1
215,0.215,126.4697698,100.5153221,126.3837927,100.4893513,,0,1
216,0.216,114.5693691,99.6766507,110.225361,99.64979962,,0,1
217,0.217,116.8898897,99.99971483,118.9349623,100.0826878,,1,0
218,0.218,118.5506945,100.2058082,122.4855572,100.1089722,,0,1
219,0.219,119.9463031,100.2585017,119.5679977,100.2562217,,0,1
220,0.22,110.3332788,99.46544039,115.9832619,99.62712684,,1,0
221,0.221,118.0762095,99.69714273,115.3507994,99.65149164,,0,1
222,0.222,126.5704929,100.1599074,118.178364,99.77933922,,0,1
223,0.223,128.7977169,100.4767405,130.2231053,100.5112724,,1,0
224,0.224,109.6396135,99.42109765,107.3409366,99.32637038,,0,1
225,0.225,117.2920185,99.79068127,117.5293054,99.87426202,,1,0
226,0.226,124.1257983,100.2653019,127.2329836,100.7874245,,1,0
227,0.227,116.5547493,100.0373552,117.4311389,99.96120307,,0,1
228,0.228,126.288671,99.80620711,122.8693794,99.5674513,,0,1
