Iteration,Noise Level,Basis Shape Error (%),Basis Motion Error (%),Rotation Shape Error (%),Rotation Motion Error (%)
81,0.81,102.34922262335515,100.39633239498326,127.5366698638466,99.7437163422846
82,0.8200000000000001,102.25417615428208,100.53732302894707,134.7613067482865,100.45228065541218
83,0.8300000000000001,101.67779332866323,100.33735978892176,123.51195820968393,99.6402399804975
84,0.84,103.06385066775681,100.80696060900137,110.4169562467626,99.5868488952022
85,0.85,99.23647594757956,99.40834647461242,127.66989935779563,100.88861484426288
86,0.86,102.1455323961867,99.55503031219575,135.49907973911914,100.65406190378584
87,0.87,109.73243936437676,101.41201306971266,114.4359675113132,100.23586137955547
88,0.88,99.0021923974661,99.70813220706742,106.27931276859111,99.9076321618252
89,0.89,99.01759915042467,99.6357049570443,121.52535769809253,99.93464612424819
90,0.9,104.08824401117991,100.09296439043476,122.15519225997123,99.9654569933611
91,0.91,100.04401293152921,99.56164928870732,133.27316353130232,100.25132817982774
92,0.92,100.22510677487875,98.91252285978527,111.72990609025062,99.97293647150721
93,0.93,101.36927389800358,99.60611322462314,128.39648925859277,100.22161909993874
94,0.9400000000000001,99.45343183335923,99.38112196201737,123.16717665863301,100.2224040536831
95,0.9500000000000001,104.91367353685371,100.18379756976941,126.65279768797286,100.04553083680092
96,0.96,102.90219430198067,100.59946504459063,118.96037172614598,99.94939966874877
97,0.97,103.76020189347929,101.64164825037703,122.19431413660101,100.13513585210083
98,0.98,102.74590192022977,100.39663901325149,115.69280562486941,100.00209003616764
99,0.99,102.46157755265426,100.1316080824803,124.58468668592513,99.96593279943576
